PST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2014-1-1,63,42,24,14,9,5,48,32,15,30.31,30.25,30.19,,,,7,2,,0.00,0,,203
2014-1-2,66,47,28,22,19,16,58,36,19,30.29,30.19,30.11,10,10,10,9,2,,0.00,0,,135
2014-1-3,64,46,28,24,21,15,61,40,22,30.14,30.04,29.96,,,,9,3,,0.00,0,,205
2014-1-4,66,47,28,25,21,16,61,42,20,30.14,30.02,29.93,,,,9,4,,0.00,0,,148
2014-1-5,61,44,26,18,7,-1,56,30,9,30.34,30.27,30.15,,,,10,4,,0.00,0,,195
2014-1-6,57,40,23,7,3,-1,37,24,11,30.45,30.34,30.22,10,10,10,9,4,,0.00,3,,254
2014-1-7,57,44,30,10,7,5,37,26,14,30.24,30.15,30.09,10,10,10,9,4,,0.00,4,,211
2014-1-8,60,40,21,11,8,3,46,29,14,30.21,30.11,30.05,10,10,10,12,5,,0.00,3,,226
2014-1-9,57,42,27,19,14,8,52,36,20,30.14,30.08,30.01,10,10,10,9,4,,0.00,3,,241
2014-1-10,63,44,26,25,20,14,66,42,21,30.22,30.16,30.09,10,10,10,6,3,,0.00,3,,204
2014-1-11,64,47,30,29,25,17,67,38,22,30.23,30.08,29.94,10,10,10,23,6,37,0.00,0,,235
2014-1-12,63,50,35,29,22,17,49,33,18,30.37,30.15,29.92,10,10,10,15,8,18,0.00,0,,169
2014-1-13,64,46,28,16,14,11,51,31,14,30.53,30.44,30.36,10,10,10,10,4,,0.00,0,,159
2014-1-14,70,50,30,15,10,7,47,25,9,30.54,30.45,30.38,10,10,10,13,6,,0.00,0,,148
