AKST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2014-1-1,46,42,37,40,38,36,97,86,76,29.95,29.77,29.57,10,8,2,25,14,36,0.69,8,Rain,138
2014-1-2,41,38,35,38,35,32,97,89,76,30.09,29.90,29.81,10,9,4,14,7,22,0.34,8,Rain,92
2014-1-3,39,36,34,38,36,33,100,97,93,30.43,30.32,30.10,10,9,2,8,3,,0.02,7,Rain,102
2014-1-4,43,38,34,35,33,31,97,82,62,30.43,30.32,30.20,10,10,10,20,6,25,0.00,6,Rain,107
2014-1-5,44,42,41,42,36,32,97,77,63,30.20,30.02,29.88,10,8,2,26,17,36,0.37,8,Rain,113
2014-1-6,44,42,41,43,41,37,100,93,82,30.00,29.92,29.78,10,8,2,14,6,,0.52,8,Rain,111
2014-1-7,44,42,39,41,39,37,100,92,76,29.77,29.71,29.57,10,7,2,21,8,24,0.33,8,Rain,119
2014-1-8,44,42,39,40,39,35,100,92,71,29.54,29.27,29.16,10,9,6,14,4,,0.44,8,Rain,4
2014-1-9,41,39,37,39,36,33,97,87,73,29.53,29.38,29.17,10,9,5,18,7,14,0.39,8,Rain,269
2014-1-10,39,36,30,36,34,30,97,93,79,29.59,29.49,29.12,10,9,4,13,6,,0.24,7,Rain,89
2014-1-11,36,32,30,33,32,29,100,95,81,29.33,29.22,29.11,10,6,0,13,3,,0.28,7,Fog-Rain-Snow,92
2014-1-12,43,38,34,39,35,31,93,82,68,29.60,29.25,29.07,10,8,2,26,16,37,0.24,8,Rain-Snow,258
2014-1-13,48,42,37,46,38,33,93,85,73,30.03,29.82,29.61,10,6,2,31,17,45,1.48,8,Rain,182
2014-1-14,48,45,42,46,42,34,100,87,68,30.20,29.68,29.41,10,5,2,29,20,45,3.59,8,Rain,211
